identifier,datestamp,setSpec,@xmlns:dc,@xmlns:oai_dc,@xmlns:xsi,@xsi:schemaLocation,dc:identifier,dc:title,dc:creator,dc:publisher,dc:date,dc:format,dc:language,dc:relation,dc:type,dc:source,dc:rights,dc:description,provenance,sdewey,dewey,source,typedoc,nqamoyen,mode_indexation,title,date,first_indexation_date,streamable
oai:bnf.fr:gallica/ark:/12148/bpt6k54445550,2019-07-19,"['gallica:theme:9:944', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k54445550,Salons célèbres / par Sophie Gay,"Gay, Sophie (1776-1852). Auteur du texte",(Paris),1864,"['1 vol. (267 p.) ; in-12', 'Nombre total de vues :  274']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30491542g,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LI3-287",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,944,9,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LI3-287",monographie,92.36,text,Salons célèbres / par Sophie Gay,1864,30/09/2008,false
oai:bnf.fr:gallica/ark:/12148/bpt6k9738742k,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k9738742k,Les semeurs de glace : voyages excentriques / Paul d'Ivoi ; ouvrage illustré... d'après les dessins de Louis Bombled,"Ivoi, Paul d' (1856-1915). Auteur du texte",Combet & Cie (Paris),,"['1 vol. (438 p.) : ill., couv. ill. en coul. ; 31 cm', 'Nombre total de vues :  466']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb45081004f,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèques de Marseille, 2016-177290",domaine public,"['Appartient à l’ensemble documentaire : UnivJeun0', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèques de Marseille, 2016-177290",monographie,99.26,text,Les semeurs de glace : voyages excentriques / Paul d'Ivoi ; ouvrage illustré... d'après les dessins de Louis Bombled,None,12/09/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k1411267k,2022-08-19,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k1411267k,"Oeuvre posthume. Journal de Stendhal (Henri Beyle), 1801-1814 / publié par Casimir Stryienski et François de Nion",Stendhal (1783-1842). Auteur du texte,"['G. Garnier (Paris)', 'G. Charpentier (Paris)']",1888,"['XXXIX-488 p. : portrait ; in-18', 'Nombre total de vues :  546']",fre,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb314040485,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-37764",domaine public,"['Appartient à l’ensemble documentaire : GTextes1', 'Avec mode texte', 'Journaux intimes']",bnf.fr,,,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-37764",monographie,84.32,text,"Oeuvre posthume. Journal de Stendhal (Henri Beyle), 1801-1814 / publié par Casimir Stryienski et François de Nion",1888,05/06/2017,false
oai:bnf.fr:gallica/ark:/12148/bpt6k56027029,2022-12-02,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k56027029,"Crimes célèbres. Tome 7 / par MM. Alex. Dumas, Arnould, Fournier, Fiorentino et Mallefille","['Dumas, Alexandre (1802-1870). Auteur du texte', 'Arnould, Auguste (1803-1854). Auteur du texte', 'Fournier, Narcisse (1803-1880). Auteur du texte', 'Fiorentino, Pier-Angelo (1809-1864). Auteur du texte', 'Mallefille, Félicien (1813-1868). Auteur du texte']",Administration de librairie (Paris),1839-1840,"['8 vol. : pl. ; in-8', 'Nombre total de vues :  362']",fre,"[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30030976q"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30030976q']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Droit, économie, politique, F-34160",domaine public,"['Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Droit, économie, politique, F-34160",monographie,96.05,text,"Crimes célèbres. Tome 7 / par MM. Alex. Dumas, Arnould, Fournier, Fiorentino et Mallefille",1839-1840,12/07/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k64192x,2019-07-20,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k64192x,Latréaumont (Nouvelle édition) / Eugène Süe,"Sue, Eugène (1804-1857). Auteur du texte",(Paris),1882,"['1 vol. (380 p.) ; in-18', 'Nombre total de vues :  386']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31418905j,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-14137",domaine public,Contient une table des matières,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-14137",monographie,82.12,text,Latréaumont (Nouvelle édition) / Eugène Süe,1882,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k10567247,2018-04-26,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k10567247,Le Piccinino. Tome 5 / George Sand,"Sand, George (1804-1876). Auteur du texte",Desessart (Paris),1847,"['5 vol. ; in-8', 'Nombre total de vues :  337', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']","['fre', 'français']","[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31293632q"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31293632q']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-420",domaine public,Avec mode texte,bnf.fr,,,"Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-420",monographie,99.97,text,Le Piccinino. Tome 5 / George Sand,1847,29/06/2014,false
oai:bnf.fr:gallica/ark:/12148/bpt6k205377r,2022-06-22,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k205377r,Têtes couronnées / Robert de Montesquiou,"Montesquiou, Robert de (1855-1921). Auteur du texte",E. Sansot (Paris),1916,"['XXV-277 p. ; in-18', 'Nombre total de vues :  277']",fre,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30970704p,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]",Bibliothèque nationale de France,domaine public,,bnf.fr,84,8,Bibliothèque nationale de France,monographie,98.47,text,Têtes couronnées / Robert de Montesquiou,1916,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6219214g,2022-06-22,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6219214g,Le maître de forges : les batailles de la vie / par Georges Ohnet,"Ohnet, Georges (1848-1918). Auteur du texte",P. Ollendorff (Paris),1882,"['1 vol. (486 p.) ; in-18', 'Nombre total de vues :  504', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']",fre,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb310330136,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-5009",domaine public,"['Appartient à l’ensemble documentaire : GTextes1', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-5009",monographie,99.93,text,Le maître de forges : les batailles de la vie / par Georges Ohnet,1882,28/05/2012,false
oai:bnf.fr:gallica/ark:/12148/bpt6k319312b,2019-11-29,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k319312b,"Lettres de Jean-Arthur Rimbaud, Égypte, Arabie, Éthiopie, avec une introduction et des notes par Paterne Berrichon. Fac-similé d'une lettre de Ménélick à Rimbaud","['Rimbaud, Arthur (1854-1891). Auteur du texte', 'Ménélick (roi d Abyssinie). Auteur du texte']",(Paris),1899,"['In-12, 274 p., fac-sim.', 'Nombre total de vues :  296']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31218245h,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Z-15155",domaine public,"['Comprend : Lettre... à Rimbaud', ""Mécénat texte imprimé : Cet ouvrage a été numérisé grâce à un don d'Eric Lesueur"", 'Avec mode texte']",bnf.fr,,,"Bibliothèque nationale de France, département Littérature et art, 8-Z-15155",monographie,88.29,text,"Lettres de Jean-Arthur Rimbaud, Égypte, Arabie, Éthiopie, avec une introduction et des notes par Paterne Berrichon. Fac-similé d'une lettre de Ménélick à Rimbaud",1899,11/03/2018,false
oai:bnf.fr:gallica/ark:/12148/bpt6k10250698,2018-04-26,"['gallica:theme:6:63', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k10250698,"Nouveau traité des arbres fruitiers... par Duhamel Du Monceau. Nouvelle édition... par MM. Veillard, Jaume Saint-Hilaire, Mirbel, Poiret et Loiseleur-Deslongchamps...","Duhamel Du Monceau, Henri-Louis (1700-1782). Auteur du texte",Roret (Paris),1850,"['2 vol. in-fol., pl. lithogr.', 'Nombre total de vues :  452']","['fre', 'français']","[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb303704593"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303704593']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,"['Mécénat texte imprimé : Cet ouvrage a été numérisé grâce à Pascal Séguin', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,63,6,Bibliothèque nationale de France,monographie,99.9,text,"Nouveau traité des arbres fruitiers... par Duhamel Du Monceau. Nouvelle édition... par MM. Veillard, Jaume Saint-Hilaire, Mirbel, Poiret et Loiseleur-Deslongchamps...",1850,02/01/2012,false
oai:bnf.fr:gallica/ark:/12148/bpt6k58467395,2020-06-12,"['gallica:corpus:PACA1', 'gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k58467395,La résurrection de Rocambole / par Ponson Du Terrail,"Ponson du Terrail, Pierre Alexis (1829-1871). Auteur du texte",(Paris),1866,"['5 vol. (420, 415, 332, 325, 284 p.) : couv. ill. ; 19 cm', 'Nombre total de vues :  426']","['fre', 'français']","['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119851914', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31134539p']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-59973",domaine public,"['[La Résurrection de Rocambole (français)]', 'Appartient à l’ensemble documentaire : PACA1', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-59973",monographie,93.74,text,La résurrection de Rocambole / par Ponson Du Terrail,1866,28/06/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k206960w,2019-07-19,"['gallica:theme:2:20', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k206960w,Bible de l'humanité / J. Michelet,"Michelet, Jules (1798-1874). Auteur du texte",(Paris),1864,"['IX-494 p. ; in-18', 'Nombre total de vues :  515']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30943170x,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,Appartient à l’ensemble documentaire : GTextes1,bnf.fr,20,2,Bibliothèque nationale de France,monographie,94.22,text,Bible de l'humanité / J. Michelet,1864,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k5739437q,2018-04-26,"['gallica:theme:9:94', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k5739437q,"Les cabinets et les peuples, depuis 1815 jusqu'à la fin de 1822 ; par M. Bignon. Troisième édition, revue et corrigée","Bignon, Louis-Pierre-Édouard (1771-1841). Auteur du texte",Béchet aîné (Paris),1823,"['511 p. ; in-8', 'Nombre total de vues :  517']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30104701s,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Droit, économie, politique, E*-3872",domaine public,"['Appartient à l’ensemble documentaire : MAEDIGen0', 'Appartient à l’ensemble documentaire : MAEDI004', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,94,9,"Bibliothèque nationale de France, département Droit, économie, politique, E*-3872",monographie,91.68,text,"Les cabinets et les peuples, depuis 1815 jusqu'à la fin de 1822 ; par M. Bignon. Troisième édition, revue et corrigée",1823,10/11/2009,false
oai:bnf.fr:gallica/ark:/12148/bpt6k42214705,2020-03-11,"['gallica:theme:8:80', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k42214705,"Un second oratoire, chroniques retrouvées / Jean Lorrain ; recueillies et commentées par Pierre-Léon Gauthier,...","Lorrain, Jean (1855-1906). Auteur du texte",(Dijon),1935,"['1 vol. (157 p.) ; gr. in-8', 'Nombre total de vues :  174']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32151074n,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 4-Z-3336",domaine public,Avec mode texte,bnf.fr,80,8,"Bibliothèque nationale de France, département Littérature et art, 4-Z-3336",monographie,88.51,text,"Un second oratoire, chroniques retrouvées / Jean Lorrain ; recueillies et commentées par Pierre-Léon Gauthier,...",1935,04/11/2019,false
oai:bnf.fr:gallica/ark:/12148/bd6t53688437,2022-08-12,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bd6t53688437,L'amour de mademoiselle Duverrier : roman / Francis de Miomandre ; bois originaux en couleurs de Jean Moreau,"Miomandre, Francis de (1880-1959). Auteur du texte",Ferenczi et fils (Paris),1932,"['1 vol. (191 p.) : fig., pl. ; in-16', 'Nombre total de vues :  200']",fre,"[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb324537272"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb324537272']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, 8-Z-22172 (140)",domaine public,"['Collection : Le livre moderne illustré ; n° 140', 'Collection : Le livre moderne illustré ; n° 140', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Z-22172 (140)",monographie,89.42,text,L'amour de mademoiselle Duverrier : roman / Francis de Miomandre ; bois originaux en couleurs de Jean Moreau,1932,28/11/2021,false
oai:bnf.fr:gallica/ark:/12148/bpt6k113523m,2019-07-20,"['gallica:theme:9:944', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k113523m,L'Affaire Dreyfus : la vérité en marche / par Émile Zola,"Zola, Émile (1840-1902). Auteur du texte",(Paris),1901,"['1 vol. (IV-314 p.) ; in-18', 'Nombre total de vues :  323']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31690897t,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Lb57-12949",domaine public,"['Collection : Bibliothèque Charpentier', 'Collection : Bibliothèque Charpentier']",bnf.fr,944,9,"Bibliothèque nationale de France, département Littérature et art, 8-Lb57-12949",monographie,95.97,text,L'Affaire Dreyfus : la vérité en marche / par Émile Zola,1901,06/12/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k97345432,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k97345432,Constance Verrier (Nouvelle édition) / George Sand,"Sand, George (1804-1876). Auteur du texte",C. Lévy (Paris),1882,"['1 vol. (248 p.) ; in-18', 'Nombre total de vues :  276']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb312933039,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-6000",domaine public,"['Collection : Nouvelle collection Michel-Lévy', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-6000",monographie,99.23,text,Constance Verrier (Nouvelle édition) / George Sand,1882,04/07/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k57869567,2022-12-02,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k57869567,Oeuvres complètes de Chateaubriand. augmentées d'un essai sur la vie et les ouvrages de l'auteur. Volume 1 / [par Delandine de Saint-Esprit],"['Chateaubriand, François-René de (1768-1848). Auteur du texte', 'Delandine de Saint-Esprit, Jérôme (1787-1855). Auteur du texte']",P.-H. Krabbe (Paris),1851-1852,"['17 vol. : pl. ; Gr. in-8', 'Nombre total de vues :  286', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']",fre,"[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30227556t"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30227556t']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, Z-5477",domaine public,"[""Comprend : Essai sur la vie et les ouvrages de l'auteur"", 'Appartient à l’ensemble documentaire : GTextes1', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Z-5477",monographie,99.98,text,Oeuvres complètes de Chateaubriand. augmentées d'un essai sur la vie et les ouvrages de l'auteur. Volume 1 / [par Delandine de Saint-Esprit],1851-1852,22/03/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k3065296c,2019-10-04,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k3065296c,Mme de Girardin / textes choisis et commentés par Jean Balde,"Girardin, Delphine de (1804-1855). Auteur du texte",(Paris),1913,"['1 vol. (II-355 p.) : portr. ; in-12', 'Nombre total de vues :  388']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30510550c,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Z-19247",domaine public,"['Collection : Bibliothèque française. XIXe siècle', 'Collection : Bibliothèque française', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Z-19247",monographie,88.8,text,Mme de Girardin / textes choisis et commentés par Jean Balde,1913,21/07/2019,false
